Group,Duplicate_Type,Path,Type,Width,Height,Ratio,Mode,Class,Style,Hash
1,Similar,tables/Eclectic/4592eclectic-nightstands-and-bedside-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,d66eaa646b913ae4e444e666b044e04647fa399b4fbb83bb1a9983ffe0111a99
1,Similar,tables/Traditional/14267traditional-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Traditional,d66eaa646b913ae4e444e666b044e04647fa399b4fbb83bb1a9983ffe0111a99
2,Similar,tables/Eclectic/3932eclectic-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,e6669cc669994cc963395999ce59199c867b39348cda6364949ae6679999e662
2,Similar,tables/Contemporary/1965contemporary-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Contemporary,e6669cc669994cc963395999ce59199c867b39348cda6364949ae6679999e662
3,Similar,tables/Eclectic/4188eclectic-console-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,deaf2f54215817eabd42997f9da394b796d7c21dc268ca65ea16ea226f426800
3,Similar,tables/Industrial/35338industrial-console-tables.jpg,jpg,350,350,1.0,RGB,tables,Industrial,deaf2f54215817eabd42997f9da394b796d7c21dc268ca65ea16ea226f426800
4,Similar,tables/Beach/22426beach-style-coffee-tables.jpg,jpg,350,350,1.0,RGB,tables,Beach,fab52f0c85c2c67ae54ab455bc2ddaa1af5565c342ba417bc079943ad98e8c85
4,Similar,tables/Eclectic/4574eclectic-nightstands-and-bedside-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,fab52f0c85c2c67ae54ab455bc2ddaa1af5565c342ba417bc079943ad98e8c85
5,Duplicate,tables/Eclectic/4911eclectic-coffee-and-accent-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,faa65680a5d1796b722a97868195a51d86c731e88f5a1ab79f8cc6d6d8a542ea
5,Duplicate,tables/Eclectic/4068eclectic-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,faa65680a5d1796b722a97868195a51d86c731e88f5a1ab79f8cc6d6d8a542ea
6,Similar,tables/Contemporary/3768contemporary-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Contemporary,bfd71bf6362d1d0b9642d114c445e035e885723169883e7a0dbb9cee853b856e
6,Similar,tables/Eclectic/3973eclectic-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,bfd71bf6362d1d0b9642d114c445e035e885723169883e7a0dbb9cee853b856e
7,Similar,tables/Traditional/14340traditional-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Traditional,e3371f8d09df24d99361e876b489eb643c9236c9496696b3c3689436e1c96974
7,Similar,tables/Eclectic/3960eclectic-side-tables-and-end-tables.jpg,jpg,350,350,1.0,RGB,tables,Eclectic,e3371f8d09df24d99361e876b489eb643c9236c9496696b3c3689436e1c96974
